,FIPS,County,State,HWBI_Score,C2N_Bio_Score,CF_AP_Score,Economic_Capital_Investment_Score,Economic_Consumption_Score,Economic_Employment_Score,Economic_Finance_Score,Economic_Innovation_Score,Economic_Production_Score,Economic_Re_Distribution_Score,Ecosystem_Air_Quality_Score,Ecosystem_Food__Fiber_and_Fuel_Provisioning_Score,Ecosystem_Greenspace_Score,Ecosystem_Water_Quality_Score,Ecosystem_Water_Quantity_Score,EDU_BE_Score,EDU_PA_Score,EDU_SED_Score,HEA_HC_Score,HEA_LEM_Score,HEA_LB_Score,HEA_PWB_Score,HEA_PMHC_Score,Domain_Score_x,LTM_AP_Score,LTM_TS_Score,LTM_WAA_Score,LST_BN_Score,LST_INC_Score,LST_WEA_Score,LST_WRK_Score,SAS_ACTS_Score,SAS_PERS_Score,SAS_RISK_Score,Domain_Score_y,SC_ATC_Score,SC_DME_Score,SC_FAM_Score,SC_SENG_Score,SC_SSUP_Score
3391,48439,Tarrant,Texas,51.194123,53.24627158,52.2890101,58.2938499799999,51.0285155099999,60.8940948199999,50.4766776,45.3939180699999,51.3726428,46.81763042,10.0,36.1867184899999,43.0804435499999,43.0615412399999,35.46790406,42.13478027,38.45926135,43.56925916,55.86965759,52.0874931,57.86901453,65.1721725,65.20845641,55.1112768628376,62.26903847,40.21680346,62.84798865,58.30263917,61.50376389,25.66851976,49.58813174,62.41525089,59.69042477,59.58274519,42.4622245094977,46.02428859,44.43047102,42.14214252,31.37126121,48.34295922
3392,24033,Prince George's,Maryland,53.401193,57.36498253,51.21858321,59.06385607,51.62169172,62.0718845099999,47.15248221,39.2772641199999,47.3724466,40.4155794799999,10.0,40.94837751,45.7377942399999,62.9182944399999,41.93619778,63.64443263,51.65191715,59.81543232,44.93093641,42.15821628,60.26075687,66.42791991,67.33722087,54.4097368725633,60.89518925,44.867142,57.46687937,54.18902361,70.32642208,44.14945281,42.96607701,48.05589808,47.47126437,58.43379649,46.4237105524274,48.4974051,46.13804836,51.39974541,40.47930276,45.60405114
3393,51169,Scott,Virginia,48.856315,57.36498253,39.48787225,59.1138153899999,51.7907631599999,57.02068826,48.20330483,32.4947595699999,48.59222484,44.4738078399999,72.1745955199999,41.1142188099999,46.13233408,63.22177777,49.8161694599999,36.50061058,42.92913449,44.41258537,59.2016809,46.39412324,52.22201665,51.42086475,67.23935277,53.4104163621405,52.68932459,49.76084983,57.78107467,58.70647851,51.2192517,35.57573624,50.36388092,72.80696808,64.19354839,42.96613888,40.0149447244931,48.20099634,45.3899649,39.50838427,33.78888587,33.18649225
3394,48239,Jackson,Texas,50.741155,90.0,47.07947556,59.04167014,51.78479205,57.80498197,41.85006761,43.6159945799999,50.4068877799999,47.0757053199999,90.0,43.5656970599999,49.0192689499999,69.50191426,31.68941158,35.39716636,26.94368233,43.69106566,64.95439149,49.02093751,55.15957785,55.47991283,66.16761955,55.7324332753185,59.20287409,49.64758955,58.34683619,56.67541804,51.28527656,35.76800071,48.36468857,73.75311777,45.55555556,49.14187445,33.5724881992789,42.93260691,43.76222462,34.49545783,30.27045337,16.40169827
3395,40085,Love,Oklahoma,52.831725,20.82338596,70.24178051,58.9354631599999,51.9427712299999,60.9306948799999,44.36479158,43.44936467,48.92683452,53.48275454,10.0,43.02411629,46.5120360499999,69.50768351,41.52370913,72.88755876,56.13174623,66.53189761,60.04018559,49.64486857,49.98847206,49.26110936,68.65168738,47.9762038501486,47.85006171,44.54953624,51.52901359,55.72720158,56.90556913,43.04039429,60.2413046,70.59666388,82.85714286,50.34558826,65.1800823381035,72.38611475,56.54702134,55.51056314,80.06238262,61.39432984
3396,13289,Twiggs,Georgia,47.685832,57.36498253,35.48024159,59.36798136,52.0939976,60.6955956899999,44.8228692,41.9304221399999,49.1397985899999,44.18235055,71.5752885299999,40.7863076499999,48.92755814,73.9821249299999,48.44810194,33.2391531,40.9092752,38.09346376,48.40908806,48.52564584,51.87624152,65.25856348,64.96876463,55.0202390224945,59.64122412,46.01480649,59.40468646,56.88693205,49.93226246,36.01638411,43.11032088,76.08190512,56.66666667,48.6692145,40.6767487165448,44.8734111,43.5228859,35.04804172,31.3750136,48.56439126
3397,39099,Mahoning,Ohio,51.121952,49.12756064,55.72916221,59.36879642,52.0187589499999,57.97958424,47.00027139,42.79792046,48.53613781,56.5779782899999,44.2264484,37.07152872,43.87382942,45.1909925499999,59.02191494,46.30936381,43.50593141,47.25221935,53.11449402,47.44878835,55.36494754,60.87927953,64.63462283,59.6042704766946,58.19312064,57.72690291,62.89278788,59.63584036,58.03926609,37.29408045,45.33552289,64.15968619,54.30976431,44.55357153,40.8491556253241,32.40726415,48.07341487,47.92181634,32.8642898,42.97899298
3398,01087,Macon,Alabama,45.380984,84.78135263,32.3225159,59.4892457999999,52.2940615899999,46.9476541299999,39.2938483699999,32.0554336399999,49.5188718599999,42.50924253,90.0,43.8719463999999,41.9483650399999,69.5478706899999,47.55202433,24.48285171,26.48371173,40.5407007,63.5784168,41.7453507,58.32530097,58.18026299,54.11380824,54.3836981866606,52.20307678,51.36406642,59.58395136,57.07514397,36.04772841,40.41702757,44.60473795,61.10883773,51.53846154,28.25980194,34.2774700460888,47.10326275,43.82413479,33.62253245,29.9397171,16.89770313
3399,17191,Wayne,Illinois,55.49163,34.7207638,65.40145018,59.1994344499999,52.0100109899999,54.4113949099999,43.35042518,29.97709575,50.93047541,40.0654043899999,90.0,35.9097353,39.23116634,51.1855781499999,53.4118676599999,61.0388854,52.29354973,59.34910387,60.27013162,50.52247934,60.5017686,68.02901463,69.90142966,51.531327555682,54.20922069,45.89989862,54.48486336,65.58099568,56.92256483,35.56387934,51.21377023,70.41112541,85.23809524,48.45127283,60.6386951598369,63.2246227,53.25940443,50.80699514,62.57447047,73.32798305
3400,48437,Swisher,Texas,53.261225,57.86311365,53.706007,59.4414954499999,52.24702863,57.2482520499999,47.35000841,43.15621568,50.8870296799999,39.7359194699999,90.0,48.32010873,43.28436966,85.6405776,31.24716537,37.25601174,36.12868088,46.5477343,80.81460066,54.17605737,56.83011248,73.45772934,65.43179677,56.3951142123219,58.20781792,50.90063869,60.07688602,60.70432483,48.18837585,37.90897786,54.17626886,63.05852144,78.88888889,46.70455401,44.2284280375677,59.19674706,45.01187242,42.09729527,33.62890862,41.20731682
